"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"H4,H1,H2,H3";"HOLE_3.2mm";4;"HOLE_3.2mm";;;
2;",,,,,,,,,,,,,";"buzzardLabel";14;"";;;
3;"D2";"0402LED";1;"red";;;
4;"U1";"TP4056M-MSOP8";1;"TP4056M";;;
5;"C3";"0603C";1;"0.1uF";;;
6;"U2";"Sot23-6";1;"DW01+G(SOT23-6)";;;
7;"R8";"0603R";1;"100R";;;
8;"R3,R6";"0402R";2;"2k2";;;
9;"K1";"U262-161N-4BVC11";1;"U262-161N-4BVC11";;;
10;"G***";"Symbol-Front-USB";1;"LOGO";;;
11;"R4";"0603R";1;"4.7k";;;
12;"G***";"Logo-Back-OSH-3.5mm";1;"LOGO";;;
13;"G***";"Symbol-Front-Battery";1;"LOGO";;;
14;"G***";"Logo-Front-Soldered-4mm";1;"LOGO";;;
15;"FD1";"FIDUCIAL_23";1;"FIDUCIAL";;;
16;"K7";"JST-2pin-SMD";1;"JST-2pin-SMD";;;
17;"D1";"0402LED";1;"purple";;;
18;"JP1";"SMD_JUMPER";1;"SMD_JUMPER";;;
19;"R5";"0603R";1;"2k49";;;
20;"R7";"0603R";1;"1k";;;
21;"JP3";"SMD-JUMPER-CONNECTED_TRACE_SLODERMASK";1;"SMD-JUMPER-CONNECTED_TRACE_SLODERMASK";;;
22;"U3";"TSSOP8";1;"FS8205A";;;
23;"R1,R2";"0603R";2;"5.1k";;;
24;"REF**";"Logo-Back-SolderedFULL-20mm";1;"Logo-Front-SolderedFULL-20mm";;;
25;"JP2";"SMD_JUMPER_CONNECTED";1;"SMD-JUMPER-CONNECTED";;;
26;"C2,C1";"0603C";2;"2.2uF";;;
27;"K4,K2,K8,K6,K9,K3,K5";"HEADER_MALE_1X1";7;"HEADER_MALE_1X1";;;
28;"REF**";"Version1.1.1.";1;"Version1.1.1.";;;
